SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,FACILITY_TYPE,GRADE,TOTAL_ENROLMENT,INDIGENOUS_ENROLMENT,ELL_ENROLMENT,FRENCH_IMMERSION_ENROLMENT,DISABILITIES_OR_DIVERSE_ABILITIES_ENROLMENT,RESIDENT_ENROLMENT,ADULT_ENROLMENT,TOTAL_FTE,INDIGENOUS_FTE,ELL_FTE,FRENCH_IMMERSION_FTE,DISABILITIES_OR_DIVERSE_ABILITIES_FTE,RESIDENT_FTE,ADULT_FTE
2025/2026,District Level,Public School,6.0,Rocky Mountain,,,All Facility Types,All Grades,3628,826,39,192,459,3570,,3553.125,804.5,39.125,191,457.875,3504.875,
2025/2026,District Level,Public School,8.0,Kootenay Lake,,,All Facility Types,All Grades,5222,962,66,302,429,5149,87,4666.75,912.9375,65.375,301.375,414.8125,4625.5,9
2025/2026,District Level,Public School,10.0,Arrow Lakes,,,All Facility Types,All Grades,499,127,Msk,,99,499,Msk,525.0011,136.8441,Msk,,106.5315,525.0011,Msk
2025/2026,District Level,Public School,19.0,Revelstoke,,,All Facility Types,All Grades,1125,92,45,,222,1098,,1130.6875,92.75,45.3125,,225.25,1106.0625,
2025/2026,District Level,Public School,20.0,Kootenay-Columbia,,,All Facility Types,All Grades,4226,742,198,311,615,4224,,4161.9375,729.3125,196.875,309.125,606.1875,4159.9375,
2025/2026,District Level,Public School,22.0,Vernon,,,All Facility Types,All Grades,9477,1459,411,1010,1604,9166,,9035.3125,1400.375,410,1024.25,1598.6875,8803.8125,
2025/2026,District Level,Public School,23.0,Central Okanagan,,,All Facility Types,All Grades,25617,3347,2111,2810,3692,25167,87,25254.625,3298.3125,2117,2861.25,3699.9375,24844.5,15.5
2025/2026,District Level,Public School,27.0,Cariboo-Chilcotin,,,All Facility Types,All Grades,4410,1478,,321,478,4409,Msk,4368.8125,1470.1875,,320,474.5,4367.8125,Msk
2025/2026,District Level,Public School,28.0,Quesnel,,,All Facility Types,All Grades,2884,981,,174,482,2884,15,2791.8125,955.1875,,174.5,481,2791.8125,0.375
2025/2026,District Level,Public School,33.0,Chilliwack,,,All Facility Types,All Grades,15622,2982,1019,759,2892,15393,224,15993.2813,2986.2813,1032.375,812.625,3021.2188,15778.1563,14.75
2025/2026,District Level,Public School,34.0,Abbotsford,,,All Facility Types,All Grades,21259,2177,3881,1038,2733,20886,325,20632.0625,2108.0625,3889.125,1050.0625,2733.25,20294.6875,52.625
2025/2026,District Level,Public School,35.0,Langley,,,All Facility Types,All Grades,27958,2195,2967,1226,4121,26787,956,27040.3125,2120.5625,2965.0625,1243.125,4123.75,26034.4375,105.3125
2025/2026,District Level,Public School,36.0,Surrey,,,All Facility Types,All Grades,85565,3180,24725,2817,10236,84879,3924,79063.1875,3006.75,24648.5,2789.625,10089.75,78463.4375,474.125
2025/2026,District Level,Public School,37.0,Delta,,,All Facility Types,All Grades,17477,630,2190,1763,2055,16681,405,16312.125,604.125,2190.125,1755.375,2026.75,15699.25,47.5
2025/2026,District Level,Public School,38.0,Richmond,,,All Facility Types,All Grades,26584,261,7603,2324,2475,25842,668,23031.6875,236.5625,7584.75,2305.5,2445.6875,22460.8125,68.8125
2025/2026,District Level,Public School,39.0,Vancouver,,,All Facility Types,All Grades,55666,2213,9311,4377,6801,54351,2032,51793.75,2122.3125,9344.1875,4391.875,6616.375,50579.25,218.25
2025/2026,District Level,Public School,40.0,New Westminster,,,All Facility Types,All Grades,10114,339,2001,974,1073,9931,1621,8022.8125,294.4375,1989.0625,971.75,1041.75,7876.875,57.625
2025/2026,District Level,Public School,41.0,Burnaby,,,All Facility Types,All Grades,30757,756,8380,2218,3339,29885,1709,28179.4375,714.3125,8413.5,2243.125,3300.625,27338.5625,80.0625
2025/2026,District Level,Public School,42.0,Maple Ridge-Pitt Meadows,,,All Facility Types,All Grades,17430,1577,1842,1582,3295,16859,596,16992.0,1528.8125,1848.0625,1609.875,3353,16398.8125,48.5
2025/2026,District Level,Public School,43.0,Coquitlam,,,All Facility Types,All Grades,36166,1350,6582,3413,6015,35028,1849,34052.0942,1308.5625,6610.0625,3448.0625,6157.4375,32992.0942,301.0317
2025/2026,District Level,Public School,44.0,North Vancouver,,,All Facility Types,All Grades,17945,686,1721,2685,2830,17285,179,17116.9375,650.5,1720.5,2630.9375,2818.6875,16487.25,7.875
2025/2026,District Level,Public School,45.0,West Vancouver,,,All Facility Types,All Grades,7296,131,1555,999,890,6888,,7466.875,132.9375,1557.375,1011.5,907.8125,7042.75,
2025/2026,District Level,Public School,46.0,Sunshine Coast,,,All Facility Types,All Grades,3523,747,137,,963,3509,Msk,3459.875,728.5625,137.9375,,967.0625,3448.75,Msk
2025/2026,District Level,Public School,47.0,qathet,,,All Facility Types,All Grades,3426,533,26,202,743,3352,62,3085.6875,474.75,26,204,640.9375,3029.5,4.5
2025/2026,District Level,Public School,48.0,Sea to Sky,,,All Facility Types,All Grades,5365,608,407,990,902,5213,11,5487.4375,636.5,413.375,1040.25,941.3125,5349.0625,2.125
2025/2026,District Level,Public School,49.0,Central Coast,,,All Facility Types,All Grades,202,119,,,46,202,,207.0625,122,,,47.4375,207.0625,
2025/2026,District Level,Public School,50.0,Haida Gwaii,,,All Facility Types,All Grades,505,339,75,,129,505,10,496.6875,332.875,75,,128.75,496.6875,
2025/2026,District Level,Public School,51.0,Boundary,,,All Facility Types,All Grades,1267,411,49,,211,1267,Msk,1262.25,407.875,50.125,,209,1262.25,Msk
2025/2026,District Level,Public School,52.0,Prince Rupert,,,All Facility Types,All Grades,1777,1109,108,154,276,1774,Msk,1799.0,1115.75,107.75,157.5,277.25,1796,Msk
2025/2026,District Level,Public School,53.0,Okanagan Similkameen,,,All Facility Types,All Grades,2384,561,166,,526,2384,51,2305.75,527.9375,167.3125,,507.4375,2305.75,7.25
2025/2026,District Level,Public School,54.0,Bulkley Valley,,,All Facility Types,All Grades,1893,534,,168,221,1893,Msk,1826.375,523.75,,168,219.5,1826.375,Msk
2025/2026,District Level,Public School,57.0,Prince George,,,All Facility Types,All Grades,13093,4143,1560,1077,1991,13081,154,12998.6875,4113.125,1560.9375,1097.6875,2008.1875,12989,2.6875
2025/2026,District Level,Public School,58.0,Nicola-Similkameen,,,All Facility Types,All Grades,3340,1000,53,141,354,3325,366,2167.0,848.75,53.5,142.625,337.625,2164.4375,46
2025/2026,District Level,Public School,59.0,Peace River South,,,All Facility Types,All Grades,3723,1259,138,245,548,3718,Msk,3601.0,1222.8125,137.875,243.25,547.0625,3595.875,Msk
2025/2026,District Level,Public School,60.0,Peace River North,,,All Facility Types,All Grades,6538,1475,733,344,771,6482,76,6008.3125,1389.6875,730.75,340.3125,753.625,5967.5,14.1875
2025/2026,District Level,Public School,61.0,Greater Victoria,,,All Facility Types,All Grades,20999,1583,2697,3869,3479,20158,135,21416.252,1608.8438,2751.5625,4020.5,3584.0319,20673.252,23.125
2025/2026,District Level,Public School,62.0,Sooke,,,All Facility Types,All Grades,15072,1494,1489,1736,2763,14725,79,14341.25,1438.875,1510.625,1780.375,2821.75,14076.625,17.5
2025/2026,District Level,Public School,63.0,Saanich,,,All Facility Types,All Grades,11916,1137,532,1010,1547,11536,2293,7884.8125,697,532.75,1022.25,1445.3125,7615.75,143.3125
2025/2026,District Level,Public School,64.0,Gulf Islands,,,All Facility Types,All Grades,1490,193,19,116,255,1488,Msk,1448.4375,185.8125,19,118.0625,255.3125,1446.9375,Msk
2025/2026,District Level,Public School,67.0,Okanagan Skaha,,,All Facility Types,All Grades,6077,1052,248,623,909,5951,Msk,5906.6875,1008.875,249.8125,635.1875,907.375,5802.375,Msk
2025/2026,District Level,Public School,68.0,Nanaimo-Ladysmith,,,All Facility Types,All Grades,16532,2856,848,1661,1822,16092,137,15695.4375,2734.5625,841.6875,1661,1789.125,15285.75,9.875
2025/2026,District Level,Public School,69.0,Qualicum,,,All Facility Types,All Grades,4496,635,86,439,597,4359,Msk,4415.6875,618.3125,86.75,454.25,599.625,4294.625,Msk
2025/2026,District Level,Public School,70.0,Pacific Rim,,,All Facility Types,All Grades,4134,1534,63,326,535,4098,210,3971.0625,1459.6875,64.1875,336.375,541.4375,3940.75,3.25
2025/2026,District Level,Public School,71.0,Comox Valley,,,All Facility Types,All Grades,16860,2566,203,1381,1242,16615,1792,11078.5,1937.0625,203.75,1386.9375,1187.25,10930.875,99.9375
2025/2026,District Level,Public School,72.0,Campbell River,,,All Facility Types,All Grades,5665,1434,403,898,1010,5589,,5767.9375,1457.625,405.75,915.5,1023.875,5699.5625,
2025/2026,District Level,Public School,73.0,Kamloops-Thompson,,,All Facility Types,All Grades,17262,3617,431,1236,2283,17018,424,16153.6875,3338.4375,429.1875,1237.625,2245.375,15944,42.375
2025/2026,District Level,Public School,74.0,Gold Trail,,,All Facility Types,All Grades,1005,649,,,143,1005,,974.0,629.75,,,137,974,
2025/2026,District Level,Public School,75.0,Mission,,,All Facility Types,All Grades,7024,1319,301,548,1130,6927,40,6666.6875,1251.375,302.1875,549.75,1094.375,6578.375,1.875
2025/2026,District Level,Public School,78.0,Fraser-Cascade,,,All Facility Types,All Grades,1861,740,69,,375,1860,35,1818.1875,719,69.625,,372.1875,1817.1875,3.375
2025/2026,District Level,Public School,79.0,Cowichan Valley,,,All Facility Types,All Grades,8454,1859,323,920,1280,8242,Msk,8384.1285,1848.0004,325.2188,932.0625,1295.657,8226.1285,Msk
2025/2026,District Level,Public School,81.0,Fort Nelson,,,All Facility Types,All Grades,605,234,16,,90,605,Msk,583.0,224.875,15.125,,87.5,583,Msk
2025/2026,District Level,Public School,82.0,Coast Mountains,,,All Facility Types,All Grades,4320,2090,443,433,651,4288,Msk,4193.5625,2037.625,442.375,429.75,636.5625,4168,Msk
2025/2026,District Level,Public School,83.0,K̓wsaltktnéws ne Secwepemcúl’ecw,,,All Facility Types,All Grades,6653,1365,82,631,1171,6612,Msk,6758.8125,1390.5,83.375,652.5,1195.1875,6726.25,Msk
2025/2026,District Level,Public School,84.0,Vancouver Island West,,,All Facility Types,All Grades,311,192,,,60,304,,312.75,193.25,,,60.625,305,
2025/2026,District Level,Public School,85.0,Vancouver Island North,,,All Facility Types,All Grades,1207,593,157,,327,1207,Msk,1198.0,591.75,156.5,,328.5,1198,Msk
2025/2026,District Level,Public School,87.0,Stikine,,,All Facility Types,All Grades,179,144,,,17,179,,176.625,141.375,,,17.125,176.625,
2025/2026,District Level,Public School,91.0,Nechako Lakes,,,All Facility Types,All Grades,5761,1660,,113,831,5718,807,3435.75,1371,,113,704.5,3430.625,29.125
2025/2026,District Level,Public School,92.0,Nisga'a,,,All Facility Types,All Grades,380,377,Msk,,38,380,,387.625,384.625,Msk,,38.8125,387.625,
2025/2026,District Level,Public School,93.0,Conseil scolaire francophone,,,All Facility Types,All Grades,6017,387,1328,,781,6010,24,5929.0,380.9375,1327.5625,,765.875,5924.5,0.625
